iter	Logloss
0	0.6929869504
1	0.6928319242
2	0.6927456759
3	0.6926483602
4	0.6924404819
5	0.6924155973
6	0.6923664453
7	0.6922603968
8	0.6921249711
9	0.6920555071
10	0.6919387397
11	0.6918139823
12	0.691668297
13	0.6915465746
14	0.6914353255
15	0.691280308
16	0.6911080542
17	0.6909287803
18	0.6907975377
19	0.6906984592
20	0.6905387872
21	0.690398431
22	0.690271936
23	0.6901118433
24	0.6900371072
25	0.6899007005
26	0.6897637305
27	0.689626009
28	0.68954354
29	0.6894354835
30	0.6893468148
31	0.6892537745
32	0.6891301867
33	0.6890142417
34	0.6888970632
35	0.6887923336
36	0.6886314438
37	0.6885066532
38	0.6884055651
39	0.6882289178
40	0.6881567611
41	0.6880533969
42	0.6879203377
43	0.6878508235
44	0.6877501232
45	0.687691214
46	0.687570457
47	0.6874041468
48	0.6872194728
49	0.6871153639
50	0.686971561
51	0.6868115435
52	0.6866928294
53	0.6865827135
54	0.6864914146
55	0.6863631739
56	0.6862549468
57	0.6861644908
58	0.6860088875
59	0.685892807
60	0.6858291476
61	0.685759905
62	0.6856622006
63	0.6855718567
64	0.685422608
65	0.6853805426
66	0.6852742643
67	0.6851761914
68	0.6850614914
69	0.6849312525
70	0.6848371298
71	0.6847574088
72	0.6846683118
73	0.6845931654
74	0.6845122969
75	0.6843738191
76	0.6842190826
77	0.6840731596
78	0.6840274934
79	0.6838837431
80	0.6838047009
81	0.6837324523
82	0.6835740397
83	0.6834429451
84	0.6832727368
85	0.6831363733
86	0.683022898
87	0.6829317297
88	0.6828486563
89	0.6827056229
90	0.6826135405
91	0.682500646
92	0.6823757867
93	0.6822352289
94	0.6821369599
95	0.6820428198
96	0.6819109963
97	0.6817949082
98	0.6816790846
99	0.6815451843
100	0.6814298573
101	0.6813190368
102	0.6811092038
103	0.6810222261
104	0.6809505182
105	0.6809070013
106	0.6808069536
107	0.6807247741
108	0.6806192096
109	0.680503449
110	0.6804098989
111	0.6803484361
112	0.6802882991
113	0.6801794465
114	0.6800941052
115	0.6799746364
116	0.6799373129
117	0.6798718892
118	0.6798190351
119	0.6797267441
120	0.6796586717
121	0.6795625815
122	0.6794879764
123	0.679382869
124	0.6792797387
125	0.6791891794
126	0.6790968867
127	0.6790131585
128	0.6789270653
129	0.6788552774
130	0.6787623154
131	0.6786589192
132	0.6785307358
133	0.6784206949
134	0.6783364076
135	0.6782280252
136	0.6781287588
137	0.6780324693
138	0.6779553621
139	0.6778758207
140	0.6777981499
141	0.6776782463
142	0.6776253098
143	0.6775253388
144	0.6774335214
145	0.6772867402
146	0.6772291169
147	0.677139206
148	0.6770402523
149	0.6770008873
150	0.6769050811
151	0.6768239875
152	0.6767861764
153	0.6766627196
154	0.6765362946
155	0.6764783368
156	0.676335203
157	0.6763051541
158	0.6762596503
159	0.6761418045
160	0.6759709008
161	0.6758981342
162	0.6757894435
163	0.6757215187
164	0.6756456303
165	0.6755223977
166	0.6754103655
167	0.6753513073
168	0.6752397962
169	0.67512673
170	0.6750394233
171	0.6749457416
172	0.6748904133
173	0.6748622015
174	0.6747544555
175	0.6746332869
176	0.6745669578
177	0.6745217814
178	0.6743734878
179	0.67423787
180	0.6741142265
181	0.6740398331
182	0.6739450939
183	0.6738265348
184	0.6737177355
185	0.6736654827
186	0.6735890766
187	0.6734724702
188	0.6733888983
189	0.6733388007
190	0.67326634
191	0.6731911229
192	0.6731159065
193	0.6730756897
194	0.672993163
195	0.6728439479
196	0.6727472796
197	0.6726627959
198	0.6725334385
199	0.6724500008
200	0.6723223463
201	0.6721956372
202	0.6721302756
203	0.6720755443
204	0.6719724446
205	0.6719191571
206	0.6718165967
207	0.6717528683
208	0.671716815
209	0.6716372522
210	0.6715618268
211	0.6714653695
212	0.671388468
213	0.6713361001
214	0.6712259749
215	0.6711894368
216	0.6711375347
217	0.6709756969
218	0.6708858546
219	0.6707991097
220	0.6706994664
