iter	Passed	Remaining
0	1	2920
1	1	2623
2	2	2579
3	3	2575
4	4	2630
5	19	9593
6	20	8556
7	21	7766
8	22	7141
9	23	6657
10	23	6245
11	24	5899
12	25	5613
13	26	5382
14	26	5165
15	27	4974
16	28	4806
17	29	4662
18	29	4537
19	34	5008
20	35	4899
21	36	4795
22	37	4698
23	38	4608
24	39	4524
25	40	4456
26	41	4435
27	45	4606
28	49	4858
29	50	4839
30	52	4820
31	53	4791
32	55	4778
33	56	4720
34	57	4667
35	58	4620
36	59	4578
37	60	4554
38	61	4529
39	63	4523
40	65	4533
41	67	4607
42	69	4585
43	70	4552
44	88	5615
45	100	6252
46	102	6197
47	103	6127
48	104	6074
49	108	6160
50	109	6090
51	110	6035
52	111	5994
53	112	5928
54	114	5916
55	116	5902
56	119	5931
57	120	5871
58	121	5815
59	122	5806
60	126	5852
61	127	5827
62	128	5796
63	130	5783
64	133	5795
65	135	5804
66	138	5833
67	140	5836
68	143	5860
69	146	5911
70	148	5914
71	151	5945
72	154	5988
73	158	6023
74	166	6258
75	167	6204
76	168	6158
77	169	6126
78	170	6078
79	171	6040
80	172	6003
81	175	6018
82	176	5990
83	178	5963
84	180	5961
85	181	5919
86	182	5892
87	184	5871
88	185	5840
89	186	5810
90	187	5776
91	188	5745
92	189	5719
93	191	5693
94	192	5680
95	194	5675
96	196	5653
97	197	5630
98	198	5607
99	199	5586
100	201	5560
101	202	5530
102	203	5506
103	205	5502
104	206	5487
105	208	5472
106	209	5455
107	210	5438
108	212	5424
109	213	5408
110	215	5391
111	216	5370
112	217	5350
113	218	5329
114	219	5307
115	220	5287
116	221	5264
117	222	5241
118	223	5217
119	224	5195
120	225	5173
121	226	5152
122	228	5141
123	229	5119
124	230	5094
125	231	5074
126	234	5109
127	235	5085
128	237	5093
129	240	5122
130	241	5098
131	248	5196
132	249	5174
133	250	5151
134	262	5362
135	263	5338
136	264	5314
137	264	5291
138	265	5268
139	266	5244
140	267	5220
141	268	5196
142	268	5173
143	269	5149
144	270	5127
145	271	5105
146	271	5082
147	272	5060
148	273	5039
149	274	5017
