time,open,high,low,close,volume
2023.01.27 08:00,1.333460,1.334510,1.333450,1.334150,815
2023.01.27 09:00,1.334190,1.334460,1.333150,1.333530,1534
2023.01.27 10:00,1.333550,1.334660,1.332850,1.332880,2513
2023.01.27 11:00,1.332870,1.333010,1.331570,1.331750,1511
2023.01.27 12:00,1.331760,1.332200,1.331320,1.331730,1134
2023.01.27 13:00,1.331740,1.332630,1.331200,1.331660,1495
2023.01.27 14:00,1.331610,1.332500,1.331560,1.332390,2289
2023.01.27 15:00,1.332400,1.332890,1.330730,1.332850,5132
2023.01.27 16:00,1.332820,1.334200,1.331200,1.332810,7415
2023.01.27 17:00,1.332740,1.333850,1.330060,1.333040,7111
2023.01.27 18:00,1.333060,1.333270,1.330480,1.331420,5417
2023.01.27 19:00,1.331390,1.331980,1.330330,1.330380,4203
2023.01.27 20:00,1.330420,1.330950,1.330020,1.330590,3270
2023.01.27 21:00,1.330580,1.331520,1.330390,1.330440,2524
2023.01.27 22:00,1.330430,1.331260,1.330030,1.331190,2385
2023.01.27 23:00,1.331200,1.331480,1.330740,1.330840,785
2023.01.30 00:00,1.331140,1.331500,1.330720,1.330950,87
2023.01.30 01:00,1.330980,1.331280,1.330110,1.330580,1023
2023.01.30 02:00,1.330550,1.330860,1.329940,1.330200,1012
2023.01.30 03:00,1.330250,1.331660,1.330110,1.330820,1483
2023.01.30 04:00,1.330860,1.332020,1.330810,1.331960,1222
2023.01.30 05:00,1.332010,1.332610,1.331910,1.332590,961
2023.01.30 06:00,1.332580,1.332780,1.331560,1.331940,1784
2023.01.30 07:00,1.331980,1.333070,1.331970,1.333000,1471
2023.01.30 08:00,1.333010,1.334030,1.332850,1.333290,1350
2023.01.30 09:00,1.333280,1.334400,1.333160,1.334160,2899
2023.01.30 10:00,1.334110,1.335360,1.333320,1.334550,3568
2023.01.30 11:00,1.334460,1.334710,1.332520,1.332990,2742
2023.01.30 12:00,1.332980,1.333050,1.331580,1.331870,2026
2023.01.30 13:00,1.331890,1.333540,1.331750,1.332900,1990
2023.01.30 14:00,1.332850,1.333190,1.332110,1.332570,2785
2023.01.30 15:00,1.332560,1.334860,1.332190,1.334470,4212
2023.01.30 16:00,1.334500,1.335520,1.333130,1.335030,6160
2023.01.30 17:00,1.335060,1.335840,1.332220,1.334240,7513
2023.01.30 18:00,1.334250,1.335720,1.333610,1.335020,6714
2023.01.30 19:00,1.335030,1.336500,1.334930,1.335830,4389
2023.01.30 20:00,1.335940,1.336770,1.335670,1.336580,3879
2023.01.30 21:00,1.336570,1.338840,1.336450,1.338230,3210
2023.01.30 22:00,1.338280,1.338910,1.337700,1.338900,3367
2023.01.30 23:00,1.338890,1.338890,1.338220,1.338590,1216
2023.01.31 00:00,1.338440,1.338780,1.337940,1.338420,326
2023.01.31 01:00,1.338300,1.339270,1.337970,1.338370,843
2023.01.31 02:00,1.338420,1.339220,1.338210,1.338420,1717
2023.01.31 03:00,1.338410,1.339070,1.337740,1.338390,1558
2023.01.31 04:00,1.338400,1.339820,1.338360,1.339700,1231
2023.01.31 05:00,1.339710,1.341050,1.339690,1.341030,1002
2023.01.31 06:00,1.340970,1.341500,1.340820,1.340840,778
2023.01.31 07:00,1.340850,1.342060,1.340460,1.341950,1111
2023.01.31 08:00,1.341940,1.342300,1.341050,1.341320,939
2023.01.31 09:00,1.341330,1.342490,1.340630,1.341130,2718
2023.01.31 10:00,1.341120,1.345390,1.340930,1.345250,3273
2023.01.31 11:00,1.345270,1.345680,1.344490,1.344630,2078
2023.01.31 12:00,1.344620,1.346880,1.344610,1.346830,2003
2023.01.31 13:00,1.346850,1.347150,1.345040,1.345510,1967
2023.01.31 14:00,1.345520,1.345890,1.344140,1.345090,2853
2023.01.31 15:00,1.345100,1.345140,1.340670,1.340960,7964
2023.01.31 16:00,1.340940,1.341850,1.338980,1.341020,7802
2023.01.31 17:00,1.341100,1.341900,1.333450,1.334550,9168
2023.01.31 18:00,1.334560,1.335060,1.332210,1.333350,6530
2023.01.31 19:00,1.333340,1.333920,1.331280,1.332210,3188
2023.01.31 20:00,1.332190,1.332340,1.330020,1.330340,2847
2023.01.31 21:00,1.330330,1.330680,1.329950,1.330580,2360
2023.01.31 22:00,1.330560,1.330960,1.330170,1.330440,2744
2023.01.31 23:00,1.330450,1.330940,1.329880,1.330460,1872
2023.02.01 00:00,1.330390,1.330680,1.329980,1.330470,538
2023.02.01 01:00,1.330470,1.330780,1.330220,1.330760,998
2023.02.01 02:00,1.330770,1.330950,1.330230,1.330530,1104
2023.02.01 03:00,1.330550,1.331300,1.329860,1.330880,1023
2023.02.01 04:00,1.330890,1.332370,1.330740,1.332120,1012
2023.02.01 05:00,1.332130,1.332290,1.331060,1.331060,653
2023.02.01 06:00,1.331090,1.331180,1.330450,1.330920,614
2023.02.01 07:00,1.330960,1.332470,1.330700,1.332450,892
2023.02.01 08:00,1.332470,1.332470,1.331070,1.331590,1166
2023.02.01 09:00,1.331600,1.332270,1.330710,1.331100,2120
2023.02.01 10:00,1.331090,1.331280,1.328880,1.328990,2764
2023.02.01 11:00,1.328980,1.330940,1.328910,1.330810,1819
2023.02.01 12:00,1.330820,1.331470,1.330340,1.330880,1548
2023.02.01 13:00,1.330900,1.331560,1.330400,1.330450,1547
2023.02.01 14:00,1.330430,1.331370,1.329880,1.331220,2334
2023.02.01 15:00,1.331200,1.331820,1.329560,1.331090,6980
2023.02.01 16:00,1.331080,1.331630,1.329170,1.329630,5773
2023.02.01 17:00,1.329610,1.333120,1.329350,1.332310,11613
2023.02.01 18:00,1.332310,1.333600,1.331520,1.333430,6954
2023.02.01 19:00,1.333440,1.334770,1.333200,1.334530,3897
2023.02.01 20:00,1.334580,1.336360,1.333400,1.335210,2984
2023.02.01 21:00,1.335360,1.337990,1.329410,1.330160,19826
2023.02.01 22:00,1.330120,1.330550,1.326660,1.328770,9891
2023.02.01 23:00,1.328780,1.329500,1.328550,1.328990,1899
2023.02.02 00:00,1.328550,1.328780,1.327880,1.328570,294
2023.02.02 01:00,1.328570,1.328620,1.326280,1.327490,3050
2023.02.02 02:00,1.327220,1.328020,1.327060,1.327840,2236
2023.02.02 03:00,1.327850,1.329240,1.327410,1.328360,1947
2023.02.02 04:00,1.328390,1.328990,1.327930,1.328400,1296
2023.02.02 05:00,1.328440,1.328610,1.328120,1.328350,854
2023.02.02 06:00,1.328310,1.328360,1.327470,1.327660,662
2023.02.02 07:00,1.327640,1.328670,1.327510,1.328650,1164
2023.02.02 08:00,1.328590,1.329170,1.328140,1.329110,1425
2023.02.02 09:00,1.329060,1.329240,1.328170,1.328850,2821
2023.02.02 10:00,1.328860,1.328870,1.326230,1.327540,3707
2023.02.02 11:00,1.327550,1.329360,1.327460,1.327980,2562
2023.02.02 12:00,1.327990,1.329610,1.327950,1.329470,1999
2023.02.02 13:00,1.329480,1.329730,1.326980,1.327620,1813
2023.02.02 14:00,1.327610,1.330560,1.327060,1.329190,6840
2023.02.02 15:00,1.329180,1.329840,1.327590,1.329300,8880
2023.02.02 16:00,1.329310,1.333140,1.328350,1.332720,12225
2023.02.02 17:00,1.332730,1.334720,1.329970,1.330400,10829
2023.02.02 18:00,1.330380,1.332700,1.329550,1.331750,6763
2023.02.02 19:00,1.331740,1.332570,1.330720,1.331810,5100
2023.02.02 20:00,1.331790,1.332300,1.330370,1.330510,3914
2023.02.02 21:00,1.330520,1.332960,1.330320,1.332520,5647
2023.02.02 22:00,1.332510,1.333050,1.331280,1.331290,4578
2023.02.02 23:00,1.331300,1.332350,1.330740,1.331450,4232
2023.02.03 00:00,1.331670,1.331890,1.331120,1.331480,348
2023.02.03 01:00,1.331250,1.332170,1.330990,1.331770,1151
2023.02.03 02:00,1.331760,1.332650,1.331760,1.332540,1597
2023.02.03 03:00,1.332560,1.332670,1.331950,1.332560,1293
2023.02.03 04:00,1.332550,1.333960,1.332330,1.333600,1007
2023.02.03 05:00,1.333630,1.333660,1.332750,1.332950,771
2023.02.03 06:00,1.332940,1.333410,1.332660,1.332730,639
2023.02.03 07:00,1.332740,1.332940,1.332140,1.332770,717
2023.02.03 08:00,1.332740,1.332890,1.332290,1.332820,781
2023.02.03 09:00,1.332830,1.334390,1.332320,1.333910,3031
2023.02.03 10:00,1.333890,1.336890,1.333890,1.336630,4802
2023.02.03 11:00,1.336660,1.337450,1.334490,1.334700,4802
2023.02.03 12:00,1.334680,1.335660,1.334310,1.334630,4529
2023.02.03 13:00,1.334620,1.335200,1.334230,1.335020,3632
2023.02.03 14:00,1.335010,1.336630,1.334810,1.335770,4109
2023.02.03 15:00,1.335820,1.342170,1.335030,1.341020,9348
2023.02.03 16:00,1.341010,1.342010,1.338530,1.339940,12850
2023.02.03 17:00,1.340220,1.342580,1.335190,1.336820,15421
2023.02.03 18:00,1.336810,1.339650,1.336170,1.339490,10293
2023.02.03 19:00,1.339500,1.339970,1.337200,1.339330,7785
2023.02.03 20:00,1.339350,1.340770,1.338900,1.339090,8577
2023.02.03 21:00,1.339080,1.340240,1.338360,1.339030,7707
2023.02.03 22:00,1.339090,1.340920,1.339090,1.340130,5876
2023.02.03 23:00,1.340120,1.340660,1.339960,1.340440,1613
2023.02.06 00:00,1.341450,1.342120,1.341130,1.341290,359
2023.02.06 01:00,1.341360,1.341820,1.339930,1.340250,2559
2023.02.06 02:00,1.340290,1.340960,1.339970,1.340070,2601
2023.02.06 03:00,1.340060,1.340820,1.339810,1.340740,3293
2023.02.06 04:00,1.340750,1.341080,1.340090,1.340370,2974
2023.02.06 05:00,1.340380,1.340740,1.339920,1.340660,2237
2023.02.06 06:00,1.340690,1.340770,1.339810,1.340220,2075
2023.02.06 07:00,1.340210,1.340850,1.339730,1.339850,2370
2023.02.06 08:00,1.339840,1.341120,1.339770,1.340920,2324
2023.02.06 09:00,1.340930,1.341540,1.339630,1.341160,4452
2023.02.06 10:00,1.341200,1.342920,1.340210,1.340770,5970
2023.02.06 11:00,1.340800,1.343730,1.340720,1.343580,5132
2023.02.06 12:00,1.343590,1.344560,1.342780,1.344020,5436
2023.02.06 13:00,1.344040,1.344730,1.343210,1.343260,3892
2023.02.06 14:00,1.343270,1.343390,1.341230,1.342010,4443
2023.02.06 15:00,1.342000,1.343420,1.341330,1.342910,7051
2023.02.06 16:00,1.342920,1.345940,1.342420,1.345260,10208
2023.02.06 17:00,1.345270,1.347560,1.344310,1.345500,9989
2023.02.06 18:00,1.345510,1.345670,1.343150,1.344120,8109
2023.02.06 19:00,1.344130,1.345090,1.343770,1.344540,7086
2023.02.06 20:00,1.344530,1.345170,1.343610,1.343690,5767
2023.02.06 21:00,1.343680,1.344450,1.342460,1.344380,4519
2023.02.06 22:00,1.344390,1.345060,1.344030,1.344260,4038
2023.02.06 23:00,1.344270,1.344940,1.344130,1.344620,861
2023.02.07 00:00,1.344610,1.344920,1.344410,1.344580,342
2023.02.07 01:00,1.344580,1.344700,1.343970,1.344300,941
2023.02.07 02:00,1.344290,1.344390,1.343190,1.343570,2088
2023.02.07 03:00,1.343560,1.343660,1.342200,1.342490,3170
2023.02.07 04:00,1.342430,1.342710,1.341240,1.341340,2862
2023.02.07 05:00,1.341300,1.342110,1.340090,1.342030,3476
2023.02.07 06:00,1.342020,1.343140,1.341920,1.342860,1840
2023.02.07 07:00,1.342850,1.343040,1.341980,1.342110,1378
2023.02.07 08:00,1.342130,1.342540,1.341130,1.341760,2906
2023.02.07 09:00,1.341740,1.342980,1.341680,1.342860,5070
2023.02.07 10:00,1.342840,1.344310,1.341720,1.342220,8643
2023.02.07 11:00,1.342210,1.342500,1.340510,1.341180,6000
2023.02.07 12:00,1.341170,1.342180,1.340730,1.342060,3709
2023.02.07 13:00,1.342050,1.343540,1.341870,1.342700,4637
2023.02.07 14:00,1.342710,1.342920,1.341710,1.342420,5346
2023.02.07 15:00,1.342430,1.345450,1.342100,1.344770,7087
2023.02.07 16:00,1.344780,1.346390,1.344550,1.345300,8748
2023.02.07 17:00,1.345290,1.346880,1.344540,1.345070,9157
2023.02.07 18:00,1.345050,1.345100,1.342430,1.343950,7509
2023.02.07 19:00,1.343960,1.345070,1.338370,1.338950,12514
2023.02.07 20:00,1.338980,1.345870,1.337980,1.344520,19518
2023.02.07 21:00,1.344530,1.344690,1.340960,1.341170,9441
2023.02.07 22:00,1.341160,1.342170,1.339610,1.340370,5039
2023.02.07 23:00,1.340390,1.340680,1.339440,1.339840,1259
2023.02.08 00:00,1.339700,1.339990,1.338840,1.339030,545
2023.02.08 01:00,1.339030,1.339960,1.338930,1.339090,914
2023.02.08 02:00,1.339100,1.340000,1.338950,1.339380,2204
2023.02.08 03:00,1.339400,1.340370,1.339140,1.339990,3215
2023.02.08 04:00,1.340000,1.340760,1.339380,1.339420,2404
2023.02.08 05:00,1.339380,1.339610,1.338980,1.339240,1747
2023.02.08 06:00,1.339250,1.339630,1.339070,1.339260,1575
2023.02.08 07:00,1.339280,1.339720,1.339160,1.339280,1437
2023.02.08 08:00,1.339290,1.339380,1.338550,1.338990,2080
2023.02.08 09:00,1.338980,1.339780,1.337150,1.337260,5108
2023.02.08 10:00,1.337270,1.338330,1.336470,1.336670,7308
2023.02.08 11:00,1.336680,1.337310,1.336000,1.336930,4199
2023.02.08 12:00,1.336920,1.337940,1.336500,1.337440,3713
2023.02.08 13:00,1.337450,1.338590,1.337130,1.337670,3056
2023.02.08 14:00,1.337660,1.340040,1.337220,1.340020,4317
2023.02.08 15:00,1.340030,1.341640,1.339640,1.340910,6438
2023.02.08 16:00,1.340920,1.342550,1.340500,1.341770,10220
2023.02.08 17:00,1.341780,1.344360,1.341390,1.342710,10493
2023.02.08 18:00,1.342700,1.344420,1.342580,1.342970,7918
2023.02.08 19:00,1.342960,1.343760,1.342670,1.343050,5611
2023.02.08 20:00,1.343040,1.343920,1.342120,1.343380,6065
2023.02.08 21:00,1.343370,1.344440,1.343050,1.343810,4874
2023.02.08 22:00,1.343820,1.344920,1.343590,1.344690,4090
2023.02.08 23:00,1.344680,1.345040,1.344510,1.344560,710
2023.02.09 00:00,1.344200,1.344510,1.343800,1.343970,402
2023.02.09 01:00,1.343970,1.344830,1.343950,1.344550,1856
2023.02.09 02:00,1.344580,1.345010,1.344390,1.344960,1364
2023.02.09 03:00,1.344950,1.345940,1.344770,1.344960,2160
2023.02.09 04:00,1.344970,1.344970,1.344020,1.344400,1644
2023.02.09 05:00,1.344390,1.344500,1.343580,1.343720,1516
2023.02.09 06:00,1.343730,1.343860,1.343480,1.343490,747
2023.02.09 07:00,1.343510,1.343740,1.342920,1.343390,2134
2023.02.09 08:00,1.343380,1.343520,1.342870,1.343190,1730
2023.02.09 09:00,1.343170,1.343200,1.341520,1.341670,4170
2023.02.09 10:00,1.341690,1.341800,1.340070,1.340580,4538
2023.02.09 11:00,1.340590,1.341550,1.340160,1.340440,3399
2023.02.09 12:00,1.340430,1.340830,1.339730,1.339750,3385
2023.02.09 13:00,1.339740,1.341080,1.339720,1.340740,2531
2023.02.09 14:00,1.340730,1.341260,1.339200,1.339570,3194
2023.02.09 15:00,1.339580,1.340120,1.337230,1.337830,5945
2023.02.09 16:00,1.337820,1.340980,1.337280,1.340550,7418
2023.02.09 17:00,1.340560,1.341730,1.339710,1.341450,7696
2023.02.09 18:00,1.341470,1.343860,1.341470,1.342860,7073
2023.02.09 19:00,1.342870,1.345580,1.342730,1.344650,5184
2023.02.09 20:00,1.344710,1.345560,1.344130,1.344700,5487
2023.02.09 21:00,1.344710,1.345840,1.344140,1.345150,5033
2023.02.09 22:00,1.345140,1.346300,1.345060,1.346110,3754
2023.02.09 23:00,1.346100,1.346170,1.345390,1.345590,1011
2023.02.10 00:00,1.344930,1.345370,1.344260,1.344930,583
2023.02.10 01:00,1.344940,1.345550,1.344730,1.344850,938
2023.02.10 02:00,1.344840,1.345890,1.344810,1.344940,2267
2023.02.10 03:00,1.344930,1.346030,1.344770,1.345380,2721
2023.02.10 04:00,1.345390,1.346310,1.345240,1.346250,2540
2023.02.10 05:00,1.346270,1.347080,1.346150,1.346990,2222
2023.02.10 06:00,1.346980,1.347210,1.346610,1.346860,1866
2023.02.10 07:00,1.346870,1.346940,1.345760,1.345810,2951
2023.02.10 08:00,1.345780,1.345840,1.345070,1.345270,2443
2023.02.10 09:00,1.345260,1.345740,1.343910,1.344510,7014
2023.02.10 10:00,1.344500,1.344610,1.341720,1.342120,8070
2023.02.10 11:00,1.342130,1.343710,1.341320,1.343690,7967
2023.02.10 12:00,1.343680,1.344960,1.343410,1.343860,5621
2023.02.10 13:00,1.343870,1.345410,1.343710,1.344920,4717
2023.02.10 14:00,1.344940,1.345310,1.343640,1.344390,4924
2023.02.10 15:00,1.344400,1.344670,1.336140,1.337630,7825
2023.02.10 16:00,1.337620,1.338170,1.335030,1.336190,8821
2023.02.10 17:00,1.336230,1.337340,1.334480,1.335350,9545
2023.02.10 18:00,1.335340,1.336370,1.334490,1.336310,6695
2023.02.10 19:00,1.336330,1.337490,1.335760,1.336070,5979
2023.02.10 20:00,1.336080,1.336400,1.335160,1.336320,3673
2023.02.10 21:00,1.336310,1.336520,1.334440,1.334480,4135
